system:index,ET_mm,NDVI,P_mm,SM,T2m_C,date_str,station_id,.geo
2_00000000000000000007,0.0,0.4017449598572703,59.08083017504078,0.4622248463286129,5.012261990114179,2010-03-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,0.0,0.394492506690455,87.51448270744986,0.39426029419707576,6.622164908825152,2010-03-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,0.0,0.13973703866432338,78.80936747653203,0.24183677579480856,-1.8920164084811393,2010-03-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,0.0,0.6181762331838565,79.84665532817755,0.3429019534534403,11.827698903447331,2010-04-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,0.0,0.09990930755395684,60.062988284680486,0.37364690766917724,-0.6464854288444019,2010-04-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,0.0,0.5812582204155374,63.32687787311831,0.4332101575512011,7.291755148345777,2010-04-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,0.0,0.39913469750889685,67.97919723402138,0.3156270743264846,5.074694520129025,2010-04-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,0.0,0.14429924712134634,58.844211379018276,0.3450153442058445,-1.2504497031388173,2010-04-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,0.0,0.4110300359712231,48.80760566450709,0.42214274234908955,5.392385622751822,2010-04-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,0.0,0.037282048957388944,58.773172338767594,0.4762067889907851,1.6455004639336128,2010-04-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,0.0,0.4956199375557538,74.78930245500713,0.43538395577940314,10.68849041383254,2010-04-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,0.0,0.6133904995539698,81.36885955565535,0.36745177242609145,11.510949434795965,2010-04-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,0.0,0.18855039543058,70.56859111283073,0.30273560857521425,2.8557915819969475,2010-04-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,0.0,0.626675605381166,113.91208251132026,0.32722343136911436,15.633480739165877,2010-05-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,0.0,0.32862401079136694,139.62173538756883,0.41802742498384104,2.904977087665828,2010-05-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,0.0,0.711800406504065,114.34652311605917,0.42267107597426884,11.58947193176768,2010-05-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,0.0,0.6507893683274021,239.565947359567,0.30134817374558637,9.2615712447523,2010-05-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
